Source,,,,,,,,,Destination,,,,,,,,,Cable Length,Cable Type
Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,,
host_0,120,X,01,U12,1,2,120X01U12-1-2,P150_LB,host_0,120,X,01,U12,5,1,120X01U12-5-1,P150_LB,,
host_0,120,X,01,U12,2,2,120X01U12-2-2,P150_LB,host_0,120,X,01,U12,6,1,120X01U12-6-1,P150_LB,,
host_0,120,X,01,U12,3,2,120X01U12-3-2,P150_LB,host_0,120,X,01,U12,7,1,120X01U12-7-1,P150_LB,,
host_0,120,X,01,U12,4,2,120X01U12-4-2,P150_LB,host_0,120,X,01,U12,8,1,120X01U12-8-1,P150_LB,,
host_0,120,X,01,U12,1,3,120X01U12-1-3,P150_LB,host_0,120,X,01,U12,2,4,120X01U12-2-4,P150_LB,,
host_0,120,X,01,U12,2,3,120X01U12-2-3,P150_LB,host_0,120,X,01,U12,3,4,120X01U12-3-4,P150_LB,,
host_0,120,X,01,U12,3,3,120X01U12-3-3,P150_LB,host_0,120,X,01,U12,4,4,120X01U12-4-4,P150_LB,,
host_0,120,X,01,U12,5,3,120X01U12-5-3,P150_LB,host_0,120,X,01,U12,6,4,120X01U12-6-4,P150_LB,,
host_0,120,X,01,U12,6,3,120X01U12-6-3,P150_LB,host_0,120,X,01,U12,7,4,120X01U12-7-4,P150_LB,,
host_0,120,X,01,U12,7,3,120X01U12-7-3,P150_LB,host_0,120,X,01,U12,8,4,120X01U12-8-4,P150_LB,,
host_0,120,X,01,U12,5,2,120X01U12-5-2,P150_LB,host_0,120,X,01,U12,1,1,120X01U12-1-1,P150_LB,,
host_0,120,X,01,U12,6,2,120X01U12-6-2,P150_LB,host_0,120,X,01,U12,2,1,120X01U12-2-1,P150_LB,,
host_0,120,X,01,U12,7,2,120X01U12-7-2,P150_LB,host_0,120,X,01,U12,3,1,120X01U12-3-1,P150_LB,,
host_0,120,X,01,U12,8,2,120X01U12-8-2,P150_LB,host_0,120,X,01,U12,4,1,120X01U12-4-1,P150_LB,,
host_0,120,X,01,U12,4,3,120X01U12-4-3,P150_LB,host_0,120,X,01,U12,1,4,120X01U12-1-4,P150_LB,,
host_0,120,X,01,U12,8,3,120X01U12-8-3,P150_LB,host_0,120,X,01,U12,5,4,120X01U12-5-4,P150_LB,,
