Source,,,,,,,,,Destination,,,,,,,,,Cable Length,Cable Type
Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,,
bh-glx-d08u08,120,D,08,U08,1,9,120D08U08-1-9,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,2,9,120D01U08-2-9,BH_GALAXY,N/A,
bh-glx-d08u08,120,D,08,U08,1,10,120D08U08-1-10,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,2,10,120D01U08-2-10,BH_GALAXY,N/A,
bh-glx-d08u08,120,D,08,U08,1,13,120D08U08-1-13,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,2,13,120D01U08-2-13,BH_GALAXY,N/A,
bh-glx-d08u08,120,D,08,U08,1,14,120D08U08-1-14,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,2,14,120D01U08-2-14,BH_GALAXY,N/A,
bh-glx-d08u08,120,D,08,U08,3,9,120D08U08-3-9,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,4,9,120D01U08-4-9,BH_GALAXY,N/A,
bh-glx-d08u08,120,D,08,U08,3,10,120D08U08-3-10,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,4,10,120D01U08-4-10,BH_GALAXY,N/A,
bh-glx-d08u08,120,D,08,U08,3,13,120D08U08-3-13,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,4,13,120D01U08-4-13,BH_GALAXY,N/A,
bh-glx-d08u08,120,D,08,U08,3,14,120D08U08-3-14,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,4,14,120D01U08-4-14,BH_GALAXY,N/A,
bh-glx-d01u08,120,D,01,U08,1,9,120D01U08-1-9,BH_GALAXY,bh-glx-d10u08,120,D,10,U08,2,9,120D10U08-2-9,BH_GALAXY,N/A,
bh-glx-d01u08,120,D,01,U08,1,10,120D01U08-1-10,BH_GALAXY,bh-glx-d10u08,120,D,10,U08,2,10,120D10U08-2-10,BH_GALAXY,N/A,
bh-glx-d01u08,120,D,01,U08,1,13,120D01U08-1-13,BH_GALAXY,bh-glx-d10u08,120,D,10,U08,2,13,120D10U08-2-13,BH_GALAXY,N/A,
bh-glx-d01u08,120,D,01,U08,1,14,120D01U08-1-14,BH_GALAXY,bh-glx-d10u08,120,D,10,U08,2,14,120D10U08-2-14,BH_GALAXY,N/A,
bh-glx-d01u08,120,D,01,U08,3,9,120D01U08-3-9,BH_GALAXY,bh-glx-d10u08,120,D,10,U08,4,9,120D10U08-4-9,BH_GALAXY,N/A,
bh-glx-d01u08,120,D,01,U08,3,10,120D01U08-3-10,BH_GALAXY,bh-glx-d10u08,120,D,10,U08,4,10,120D10U08-4-10,BH_GALAXY,N/A,
bh-glx-d01u08,120,D,01,U08,3,13,120D01U08-3-13,BH_GALAXY,bh-glx-d10u08,120,D,10,U08,4,13,120D10U08-4-13,BH_GALAXY,N/A,
bh-glx-d01u08,120,D,01,U08,3,14,120D01U08-3-14,BH_GALAXY,bh-glx-d10u08,120,D,10,U08,4,14,120D10U08-4-14,BH_GALAXY,N/A,
bh-glx-d02u08,120,D,02,U08,1,9,120D02U08-1-9,BH_GALAXY,bh-glx-d07u08,120,D,07,U08,2,9,120D07U08-2-9,BH_GALAXY,N/A,
bh-glx-d02u08,120,D,02,U08,1,10,120D02U08-1-10,BH_GALAXY,bh-glx-d07u08,120,D,07,U08,2,10,120D07U08-2-10,BH_GALAXY,N/A,
bh-glx-d02u08,120,D,02,U08,1,13,120D02U08-1-13,BH_GALAXY,bh-glx-d07u08,120,D,07,U08,2,13,120D07U08-2-13,BH_GALAXY,N/A,
bh-glx-d02u08,120,D,02,U08,1,14,120D02U08-1-14,BH_GALAXY,bh-glx-d07u08,120,D,07,U08,2,14,120D07U08-2-14,BH_GALAXY,N/A,
bh-glx-d02u08,120,D,02,U08,3,9,120D02U08-3-9,BH_GALAXY,bh-glx-d07u08,120,D,07,U08,4,9,120D07U08-4-9,BH_GALAXY,N/A,
bh-glx-d02u08,120,D,02,U08,3,10,120D02U08-3-10,BH_GALAXY,bh-glx-d07u08,120,D,07,U08,4,10,120D07U08-4-10,BH_GALAXY,N/A,
bh-glx-d02u08,120,D,02,U08,3,13,120D02U08-3-13,BH_GALAXY,bh-glx-d07u08,120,D,07,U08,4,13,120D07U08-4-13,BH_GALAXY,N/A,
