Source,,,,,,,,,Destination,,,,,,,,,Cable Length,Cable Type
Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,,
host_0,120,X,01,U30,4,3,120X01U30-4-3,P150_LB,host_2,120,X,01,U18,1,4,120X01U18-1-4,P150_LB,,
host_0,120,X,01,U30,8,3,120X01U30-8-3,P150_LB,host_2,120,X,01,U18,5,4,120X01U18-5-4,P150_LB,,
host_1,120,X,01,U24,4,3,120X01U24-4-3,P150_LB,host_3,120,X,01,U12,1,4,120X01U12-1-4,P150_LB,,
host_1,120,X,01,U24,8,3,120X01U24-8-3,P150_LB,host_3,120,X,01,U12,5,4,120X01U12-5-4,P150_LB,,
host_2,120,X,01,U18,4,3,120X01U18-4-3,P150_LB,host_0,120,X,01,U30,1,4,120X01U30-1-4,P150_LB,,
host_2,120,X,01,U18,8,3,120X01U18-8-3,P150_LB,host_0,120,X,01,U30,5,4,120X01U30-5-4,P150_LB,,
host_3,120,X,01,U12,4,3,120X01U12-4-3,P150_LB,host_1,120,X,01,U24,1,4,120X01U24-1-4,P150_LB,,
host_3,120,X,01,U12,8,3,120X01U12-8-3,P150_LB,host_1,120,X,01,U24,5,4,120X01U24-5-4,P150_LB,,
host_0,120,X,01,U30,5,2,120X01U30-5-2,P150_LB,host_1,120,X,01,U24,1,1,120X01U24-1-1,P150_LB,,
host_0,120,X,01,U30,6,2,120X01U30-6-2,P150_LB,host_1,120,X,01,U24,2,1,120X01U24-2-1,P150_LB,,
host_0,120,X,01,U30,7,2,120X01U30-7-2,P150_LB,host_1,120,X,01,U24,3,1,120X01U24-3-1,P150_LB,,
host_0,120,X,01,U30,8,2,120X01U30-8-2,P150_LB,host_1,120,X,01,U24,4,1,120X01U24-4-1,P150_LB,,
host_1,120,X,01,U24,5,2,120X01U24-5-2,P150_LB,host_0,120,X,01,U30,1,1,120X01U30-1-1,P150_LB,,
host_1,120,X,01,U24,6,2,120X01U24-6-2,P150_LB,host_0,120,X,01,U30,2,1,120X01U30-2-1,P150_LB,,
host_1,120,X,01,U24,7,2,120X01U24-7-2,P150_LB,host_0,120,X,01,U30,3,1,120X01U30-3-1,P150_LB,,
host_1,120,X,01,U24,8,2,120X01U24-8-2,P150_LB,host_0,120,X,01,U30,4,1,120X01U30-4-1,P150_LB,,
host_0,120,X,01,U30,1,2,120X01U30-1-2,P150_LB,host_0,120,X,01,U30,5,1,120X01U30-5-1,P150_LB,,
host_0,120,X,01,U30,2,2,120X01U30-2-2,P150_LB,host_0,120,X,01,U30,6,1,120X01U30-6-1,P150_LB,,
host_0,120,X,01,U30,3,2,120X01U30-3-2,P150_LB,host_0,120,X,01,U30,7,1,120X01U30-7-1,P150_LB,,
