Source,,,,,,,,,Destination,,,,,,,,,Cable Length,Cable Type
Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,,
bh-glx-110-c01u08,110,C,01,U08,1,7,110C01U08-1-7,BH_GALAXY_REV_C,bh-glx-110-c04u08,110,C,04,U08,3,7,110C04U08-3-7,BH_GALAXY_REV_C,,
bh-glx-110-c01u08,110,C,01,U08,1,8,110C01U08-1-8,BH_GALAXY_REV_C,bh-glx-110-c04u08,110,C,04,U08,3,8,110C04U08-3-8,BH_GALAXY_REV_C,,
bh-glx-110-c01u08,110,C,01,U08,1,11,110C01U08-1-11,BH_GALAXY_REV_C,bh-glx-110-c04u08,110,C,04,U08,3,11,110C04U08-3-11,BH_GALAXY_REV_C,,
bh-glx-110-c01u08,110,C,01,U08,1,12,110C01U08-1-12,BH_GALAXY_REV_C,bh-glx-110-c04u08,110,C,04,U08,3,12,110C04U08-3-12,BH_GALAXY_REV_C,,
bh-glx-110-c01u08,110,C,01,U08,2,7,110C01U08-2-7,BH_GALAXY_REV_C,bh-glx-110-c04u08,110,C,04,U08,4,7,110C04U08-4-7,BH_GALAXY_REV_C,,
bh-glx-110-c01u08,110,C,01,U08,2,8,110C01U08-2-8,BH_GALAXY_REV_C,bh-glx-110-c04u08,110,C,04,U08,4,8,110C04U08-4-8,BH_GALAXY_REV_C,,
bh-glx-110-c01u08,110,C,01,U08,2,11,110C01U08-2-11,BH_GALAXY_REV_C,bh-glx-110-c04u08,110,C,04,U08,4,11,110C04U08-4-11,BH_GALAXY_REV_C,,
bh-glx-110-c01u08,110,C,01,U08,2,12,110C01U08-2-12,BH_GALAXY_REV_C,bh-glx-110-c04u08,110,C,04,U08,4,12,110C04U08-4-12,BH_GALAXY_REV_C,,
bh-glx-110-c03u08,110,C,03,U08,1,7,110C03U08-1-7,BH_GALAXY_REV_C,bh-glx-110-c02u08,110,C,02,U08,3,7,110C02U08-3-7,BH_GALAXY_REV_C,,
bh-glx-110-c03u08,110,C,03,U08,1,8,110C03U08-1-8,BH_GALAXY_REV_C,bh-glx-110-c02u08,110,C,02,U08,3,8,110C02U08-3-8,BH_GALAXY_REV_C,,
