Source,,,,,,,,,Destination,,,,,,,,,Cable Length,Cable Type
Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,,
bh-glx-110-c08u08,110,C,08,U08,1,9,110C08U08-1-9,BH_GALAXY_REV_C,bh-glx-110-c01u08,110,C,01,U08,3,9,110C01U08-3-9,BH_GALAXY_REV_C,,
bh-glx-110-c08u08,110,C,08,U08,1,10,110C08U08-1-10,BH_GALAXY_REV_C,bh-glx-110-c01u08,110,C,01,U08,3,10,110C01U08-3-10,BH_GALAXY_REV_C,,
bh-glx-110-c08u08,110,C,08,U08,1,13,110C08U08-1-13,BH_GALAXY_REV_C,bh-glx-110-c01u08,110,C,01,U08,3,13,110C01U08-3-13,BH_GALAXY_REV_C,,
bh-glx-110-c08u08,110,C,08,U08,1,14,110C08U08-1-14,BH_GALAXY_REV_C,bh-glx-110-c01u08,110,C,01,U08,3,14,110C01U08-3-14,BH_GALAXY_REV_C,,
bh-glx-110-c08u08,110,C,08,U08,2,9,110C08U08-2-9,BH_GALAXY_REV_C,bh-glx-110-c01u08,110,C,01,U08,4,9,110C01U08-4-9,BH_GALAXY_REV_C,,
bh-glx-110-c08u08,110,C,08,U08,2,10,110C08U08-2-10,BH_GALAXY_REV_C,bh-glx-110-c01u08,110,C,01,U08,4,10,110C01U08-4-10,BH_GALAXY_REV_C,,
bh-glx-110-c08u08,110,C,08,U08,2,13,110C08U08-2-13,BH_GALAXY_REV_C,bh-glx-110-c01u08,110,C,01,U08,4,13,110C01U08-4-13,BH_GALAXY_REV_C,,
bh-glx-110-c08u08,110,C,08,U08,2,14,110C08U08-2-14,BH_GALAXY_REV_C,bh-glx-110-c01u08,110,C,01,U08,4,14,110C01U08-4-14,BH_GALAXY_REV_C,,
bh-glx-110-c01u08,110,C,01,U08,1,9,110C01U08-1-9,BH_GALAXY_REV_C,bh-glx-110-c10u08,110,C,10,U08,3,9,110C10U08-3-9,BH_GALAXY_REV_C,,
bh-glx-110-c01u08,110,C,01,U08,1,10,110C01U08-1-10,BH_GALAXY_REV_C,bh-glx-110-c10u08,110,C,10,U08,3,10,110C10U08-3-10,BH_GALAXY_REV_C,,
bh-glx-110-c01u08,110,C,01,U08,1,13,110C01U08-1-13,BH_GALAXY_REV_C,bh-glx-110-c10u08,110,C,10,U08,3,13,110C10U08-3-13,BH_GALAXY_REV_C,,
bh-glx-110-c01u08,110,C,01,U08,1,14,110C01U08-1-14,BH_GALAXY_REV_C,bh-glx-110-c10u08,110,C,10,U08,3,14,110C10U08-3-14,BH_GALAXY_REV_C,,
bh-glx-110-c01u08,110,C,01,U08,2,9,110C01U08-2-9,BH_GALAXY_REV_C,bh-glx-110-c10u08,110,C,10,U08,4,9,110C10U08-4-9,BH_GALAXY_REV_C,,
bh-glx-110-c01u08,110,C,01,U08,2,10,110C01U08-2-10,BH_GALAXY_REV_C,bh-glx-110-c10u08,110,C,10,U08,4,10,110C10U08-4-10,BH_GALAXY_REV_C,,
bh-glx-110-c01u08,110,C,01,U08,2,13,110C01U08-2-13,BH_GALAXY_REV_C,bh-glx-110-c10u08,110,C,10,U08,4,13,110C10U08-4-13,BH_GALAXY_REV_C,,
bh-glx-110-c01u08,110,C,01,U08,2,14,110C01U08-2-14,BH_GALAXY_REV_C,bh-glx-110-c10u08,110,C,10,U08,4,14,110C10U08-4-14,BH_GALAXY_REV_C,,
bh-glx-110-c02u08,110,C,02,U08,1,9,110C02U08-1-9,BH_GALAXY_REV_C,bh-glx-110-c07u08,110,C,07,U08,3,9,110C07U08-3-9,BH_GALAXY_REV_C,,
bh-glx-110-c02u08,110,C,02,U08,1,10,110C02U08-1-10,BH_GALAXY_REV_C,bh-glx-110-c07u08,110,C,07,U08,3,10,110C07U08-3-10,BH_GALAXY_REV_C,,
bh-glx-110-c02u08,110,C,02,U08,1,13,110C02U08-1-13,BH_GALAXY_REV_C,bh-glx-110-c07u08,110,C,07,U08,3,13,110C07U08-3-13,BH_GALAXY_REV_C,,
bh-glx-110-c02u08,110,C,02,U08,1,14,110C02U08-1-14,BH_GALAXY_REV_C,bh-glx-110-c07u08,110,C,07,U08,3,14,110C07U08-3-14,BH_GALAXY_REV_C,,
bh-glx-110-c02u08,110,C,02,U08,2,9,110C02U08-2-9,BH_GALAXY_REV_C,bh-glx-110-c07u08,110,C,07,U08,4,9,110C07U08-4-9,BH_GALAXY_REV_C,,
bh-glx-110-c02u08,110,C,02,U08,2,10,110C02U08-2-10,BH_GALAXY_REV_C,bh-glx-110-c07u08,110,C,07,U08,4,10,110C07U08-4-10,BH_GALAXY_REV_C,,
bh-glx-110-c02u08,110,C,02,U08,2,13,110C02U08-2-13,BH_GALAXY_REV_C,bh-glx-110-c07u08,110,C,07,U08,4,13,110C07U08-4-13,BH_GALAXY_REV_C,,
bh-glx-110-c02u08,110,C,02,U08,2,14,110C02U08-2-14,BH_GALAXY_REV_C,bh-glx-110-c07u08,110,C,07,U08,4,14,110C07U08-4-14,BH_GALAXY_REV_C,,
bh-glx-110-c09u08,110,C,09,U08,1,9,110C09U08-1-9,BH_GALAXY_REV_C,bh-glx-110-c02u08,110,C,02,U08,3,9,110C02U08-3-9,BH_GALAXY_REV_C,,
bh-glx-110-c09u08,110,C,09,U08,1,10,110C09U08-1-10,BH_GALAXY_REV_C,bh-glx-110-c02u08,110,C,02,U08,3,10,110C02U08-3-10,BH_GALAXY_REV_C,,
