Source,,,,,,,,,Destination,,,,,,,,,Cable Length,Cable Type
Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,,
bh-glx-110-d01u08,110,D,01,U08,1,6,110D01U08-1-6,BH_GALAXY_REV_C,bh-glx-110-d03u02,110,D,03,U02,1,6,110D03U02-1-6,BH_GALAXY_REV_C,,
bh-glx-110-d03u08,110,D,03,U08,1,6,110D03U08-1-6,BH_GALAXY_REV_C,bh-glx-110-d05u02,110,D,05,U02,1,6,110D05U02-1-6,BH_GALAXY_REV_C,,
bh-glx-110-d05u08,110,D,05,U08,1,6,110D05U08-1-6,BH_GALAXY_REV_C,bh-glx-110-d07u02,110,D,07,U02,1,6,110D07U02-1-6,BH_GALAXY_REV_C,,
bh-glx-110-d07u08,110,D,07,U08,1,6,110D07U08-1-6,BH_GALAXY_REV_C,bh-glx-110-d01u02,110,D,01,U02,1,6,110D01U02-1-6,BH_GALAXY_REV_C,,
bh-glx-110-d02u02,110,D,02,U02,3,6,110D02U02-3-6,BH_GALAXY_REV_C,bh-glx-110-d04u02,110,D,04,U02,1,6,110D04U02-1-6,BH_GALAXY_REV_C,,
bh-glx-110-d04u02,110,D,04,U02,3,6,110D04U02-3-6,BH_GALAXY_REV_C,bh-glx-110-d06u02,110,D,06,U02,1,6,110D06U02-1-6,BH_GALAXY_REV_C,,
bh-glx-110-d06u02,110,D,06,U02,3,6,110D06U02-3-6,BH_GALAXY_REV_C,bh-glx-110-d08u02,110,D,08,U02,1,6,110D08U02-1-6,BH_GALAXY_REV_C,,
bh-glx-110-d08u02,110,D,08,U02,3,6,110D08U02-3-6,BH_GALAXY_REV_C,bh-glx-110-d02u02,110,D,02,U02,1,6,110D02U02-1-6,BH_GALAXY_REV_C,,
bh-glx-110-d01u08,110,D,01,U08,3,6,110D01U08-3-6,BH_GALAXY_REV_C,bh-glx-110-c01u02,110,C,01,U02,3,6,110C01U02-3-6,BH_GALAXY_REV_C,,
bh-glx-110-c01u08,110,C,01,U08,3,6,110C01U08-3-6,BH_GALAXY_REV_C,bh-glx-110-c03u02,110,C,03,U02,3,6,110C03U02-3-6,BH_GALAXY_REV_C,,
bh-glx-110-c03u08,110,C,03,U08,3,6,110C03U08-3-6,BH_GALAXY_REV_C,bh-glx-110-d05u02,110,D,05,U02,3,6,110D05U02-3-6,BH_GALAXY_REV_C,,
bh-glx-110-d05u08,110,D,05,U08,3,6,110D05U08-3-6,BH_GALAXY_REV_C,bh-glx-110-d01u02,110,D,01,U02,3,6,110D01U02-3-6,BH_GALAXY_REV_C,,
bh-glx-110-d02u08,110,D,02,U08,3,6,110D02U08-3-6,BH_GALAXY_REV_C,bh-glx-110-c02u08,110,C,02,U08,1,6,110C02U08-1-6,BH_GALAXY_REV_C,,
bh-glx-110-c02u08,110,C,02,U08,3,6,110C02U08-3-6,BH_GALAXY_REV_C,bh-glx-110-c04u08,110,C,04,U08,1,6,110C04U08-1-6,BH_GALAXY_REV_C,,
bh-glx-110-c04u08,110,C,04,U08,3,6,110C04U08-3-6,BH_GALAXY_REV_C,bh-glx-110-d06u08,110,D,06,U08,1,6,110D06U08-1-6,BH_GALAXY_REV_C,,
bh-glx-110-d06u08,110,D,06,U08,3,6,110D06U08-3-6,BH_GALAXY_REV_C,bh-glx-110-d02u08,110,D,02,U08,1,6,110D02U08-1-6,BH_GALAXY_REV_C,,
