Source,,,,,,,,,Destination,,,,,,,,,Cable Length,Cable Type
Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,,
host_1,,,00,U00,1,3,00U00-1-3,P150_LB,host_1,,,00,U00,2,3,00U00-2-3,P150_LB,,
host_1,,,00,U00,3,3,00U00-3-3,P150_LB,host_1,,,00,U00,4,3,00U00-4-3,P150_LB,,
host_1,,,00,U00,5,3,00U00-5-3,P150_LB,host_1,,,00,U00,6,3,00U00-6-3,P150_LB,,
host_1,,,00,U00,7,3,00U00-7-3,P150_LB,host_1,,,00,U00,8,3,00U00-8-3,P150_LB,,
host_2,,,00,U00,1,3,00U00-1-3,P150_LB,host_2,,,00,U00,2,3,00U00-2-3,P150_LB,,
host_2,,,00,U00,3,3,00U00-3-3,P150_LB,host_2,,,00,U00,4,3,00U00-4-3,P150_LB,,
host_2,,,00,U00,5,3,00U00-5-3,P150_LB,host_2,,,00,U00,6,3,00U00-6-3,P150_LB,,
host_2,,,00,U00,7,3,00U00-7-3,P150_LB,host_2,,,00,U00,8,3,00U00-8-3,P150_LB,,
host_1,,,00,U00,1,2,00U00-1-2,P150_LB,host_1,,,00,U00,3,2,00U00-3-2,P150_LB,,
host_1,,,00,U00,2,2,00U00-2-2,P150_LB,host_1,,,00,U00,4,2,00U00-4-2,P150_LB,,
host_1,,,00,U00,5,2,00U00-5-2,P150_LB,host_1,,,00,U00,7,2,00U00-7-2,P150_LB,,
host_1,,,00,U00,6,2,00U00-6-2,P150_LB,host_1,,,00,U00,8,2,00U00-8-2,P150_LB,,
host_2,,,00,U00,1,2,00U00-1-2,P150_LB,host_2,,,00,U00,3,2,00U00-3-2,P150_LB,,
host_2,,,00,U00,2,2,00U00-2-2,P150_LB,host_2,,,00,U00,4,2,00U00-4-2,P150_LB,,
host_2,,,00,U00,5,2,00U00-5-2,P150_LB,host_2,,,00,U00,7,2,00U00-7-2,P150_LB,,
host_2,,,00,U00,6,2,00U00-6-2,P150_LB,host_2,,,00,U00,8,2,00U00-8-2,P150_LB,,
host_1,,,00,U00,1,1,00U00-1-1,P150_LB,host_2,,,00,U00,1,1,00U00-1-1,P150_LB,,
host_2,,,00,U00,2,1,00U00-2-1,P150_LB,host_1,,,00,U00,2,1,00U00-2-1,P150_LB,,
host_2,,,00,U00,3,1,00U00-3-1,P150_LB,host_1,,,00,U00,3,1,00U00-3-1,P150_LB,,
host_2,,,00,U00,4,1,00U00-4-1,P150_LB,host_1,,,00,U00,4,1,00U00-4-1,P150_LB,,
host_2,,,00,U00,5,1,00U00-5-1,P150_LB,host_1,,,00,U00,5,1,00U00-5-1,P150_LB,,
host_2,,,00,U00,6,1,00U00-6-1,P150_LB,host_1,,,00,U00,6,1,00U00-6-1,P150_LB,,
host_2,,,00,U00,7,1,00U00-7-1,P150_LB,host_1,,,00,U00,7,1,00U00-7-1,P150_LB,,
host_2,,,00,U00,8,1,00U00-8-1,P150_LB,host_1,,,00,U00,8,1,00U00-8-1,P150_LB,,
host_2,,,00,U00,1,4,00U00-1-4,P150_LB,host_2,,,00,U00,5,4,00U00-5-4,P150_LB,,
host_2,,,00,U00,2,4,00U00-2-4,P150_LB,host_2,,,00,U00,6,4,00U00-6-4,P150_LB,,
host_2,,,00,U00,3,4,00U00-3-4,P150_LB,host_2,,,00,U00,7,4,00U00-7-4,P150_LB,,
host_1,,,00,U00,1,4,00U00-1-4,P150_LB,host_1,,,00,U00,5,4,00U00-5-4,P150_LB,,
host_1,,,00,U00,2,4,00U00-2-4,P150_LB,host_1,,,00,U00,6,4,00U00-6-4,P150_LB,,
host_1,,,00,U00,3,4,00U00-3-4,P150_LB,host_1,,,00,U00,7,4,00U00-7-4,P150_LB,,
host_1,,,00,U00,4,4,00U00-4-4,P150_LB,host_1,,,00,U00,8,4,00U00-8-4,P150_LB,,
host_2,,,00,U00,4,4,00U00-4-4,P150_LB,host_2,,,00,U00,8,4,00U00-8-4,P150_LB,,
